[26.04.2017 | 19:19:01] Pos: 1794.9, -1312.5, 131.7 | OldPos: 1699.6, -1652.0 | OldOldPos: 1699.6, -1652.0 | PlayerLevel: 1 | Name: Nestro_Ross | Ping: 98 | Warnings: 0
[26.04.2017 | 19:41:05] Pos: 2240.1, -1105.3, 1013.1 | OldPos: 2323.3, -1146.3 | OldOldPos: 2323.3, -1146.3 | PlayerLevel: 1 | Name: Nestro_Ross | Ping: 94 | Warnings: 0
[26.04.2017 | 19:42:03] Pos: 1344.2, -1724.9, -10.0 | OldPos: 1379.1, -1740.1 | OldOldPos: 1408.4, -1752.9 | PlayerLevel: 1 | Name: Jony_Cemeron | Ping: 209 | Warnings: 3
[26.04.2017 | 19:47:45] Pos: 2482.1, -544.6, 1501.0 | OldPos: 1753.5, -1894.8 | OldOldPos: 1753.5, -1894.8 | PlayerLevel: 1 | Name: Daniel_Haro | Ping: 95 | Warnings: 0
[26.04.2017 | 20:17:42] Pos: 766.7, -1754.3, 13.6 | OldPos: 809.5, -1787.5 | OldOldPos: 886.9, -1794.5 | PlayerLevel: 1 | Name: Ketro_Zerk | Ping: 155 | Warnings: 3
[26.04.2017 | 20:24:20] Pos: 1748.1, -1808.3, 74.2 | OldPos: 1774.0, -1824.6 | OldOldPos: 1798.7, -1834.9 | PlayerLevel: 1 | Name: Diego_Powell | Ping: 85 | Warnings: 0
[26.04.2017 | 20:38:43] Pos: 1194.2, -1708.5, 13.6 | OldPos: 1174.7, -1743.6 | OldOldPos: 1158.3, -1759.1 | PlayerLevel: 1 | Name: Scott_Miller | Ping: 81 | Warnings: 0
[26.04.2017 | 21:17:36] Pos: -626.1, -2233.3, 1612.3 | OldPos: 1783.8, -1904.0 | OldOldPos: 1783.8, -1904.0 | PlayerLevel: 1 | Name: Offline_Zomer | Ping: 58 | Warnings: 0
[26.04.2017 | 21:23:52] Pos: 1559.9, -1733.2, 13.3 | OldPos: 1744.0, -1874.5 | OldOldPos: 1744.0, -1874.5 | PlayerLevel: 1 | Name: David_Weazzy | Ping: 75 | Warnings: 0
[26.04.2017 | 21:26:14] Pos: 333.3, -1665.9, 30.3 | OldPos: 338.8, -1723.6 | OldOldPos: 338.9, -1723.9 | PlayerLevel: 1 | Name: Frosya_Test | Ping: 71 | Warnings: 0
