[26.04.2017 | 18:07:59] Pos: 318.0, -1695.2, 6.7 | OldPos: 359.1, -1700.2 | OldOldPos: 361.7, -1700.4 | PlayerLevel: 2 | Name: Eduard_Mirzoyan | Ping: 97 | Warnings: 0
[26.04.2017 | 18:11:03] Pos: -388.1, -832.1, 46.9 | OldPos: -431.3, -834.6 | OldOldPos: -431.3, -834.6 | PlayerLevel: 2 | Name: Eduard_Mirzoyan | Ping: 97 | Warnings: 0
[26.04.2017 | 18:14:09] Pos: 1497.7, 841.5, 6.5 | OldPos: 1456.0, 842.0 | OldOldPos: 1456.0, 842.0 | PlayerLevel: 3 | Name: Lexa_Kostantinov | Ping: 74 | Warnings: 0
[26.04.2017 | 18:26:05] Pos: 226.1, -1669.5, 11.2 | OldPos: 197.4, -1640.0 | OldOldPos: 197.4, -1640.0 | PlayerLevel: 5 | Name: Roman_Gorgadze | Ping: 80 | Warnings: 0
[26.04.2017 | 19:10:21] Pos: 1355.9, -1287.1, 12.8 | OldPos: 1355.8, -1364.5 | OldOldPos: 1355.8, -1409.7 | PlayerLevel: 1 | Name: Marina_Koba | Ping: 128 | Warnings: 3
[26.04.2017 | 19:22:28] Pos: 1277.0, -1815.6, 13.3 | OldPos: -2109.0, 734.4 | OldOldPos: -2108.1, 734.4 | PlayerLevel: 2 | Name: Maxim_Glinov | Ping: 96 | Warnings: 0
[26.04.2017 | 19:32:30] Pos: 716.3, -1435.7, 13.2 | OldPos: -1499.5, 919.7 | OldOldPos: -1499.5, 919.7 | PlayerLevel: 3 | Name: Nikita_CJevskiy | Ping: 73 | Warnings: 0
[26.04.2017 | 19:47:01] Pos: 1450.6, -1589.7, 13.1 | OldPos: 1491.4, -1589.7 | OldOldPos: 1493.9, -1589.7 | PlayerLevel: 1 | Name: Revan_ | Ping: 95 | Warnings: 0
[26.04.2017 | 20:40:34] Pos: -2086.9, -141.7, 35.0 | OldPos: -2077.0, -199.2 | OldOldPos: -2076.8, -199.6 | PlayerLevel: 1 | Name: Andrey_Svetliy | Ping: 96 | Warnings: 0
[26.04.2017 | 20:49:36] Pos: -1720.1, 333.6, 6.7 | OldPos: -1752.4, 300.3 | OldOldPos: -1757.0, 296.9 | PlayerLevel: 5 | Name: Robert_Tompson | Ping: 96 | Warnings: 0
[26.04.2017 | 20:51:22] Pos: -2086.9, -131.8, 35.0 | OldPos: -2076.6, -199.3 | OldOldPos: -2076.6, -199.6 | PlayerLevel: 1 | Name: Pierce_Washington | Ping: 92 | Warnings: 0
[26.04.2017 | 20:51:33] Pos: 1729.3, -1814.9, 13.1 | OldPos: 1774.2, -1826.3 | OldOldPos: 1777.5, -1827.2 | PlayerLevel: 1 | Name: Maksim_Warner | Ping: 68 | Warnings: 0
[26.04.2017 | 20:51:51] Pos: 1400.5, -1730.6, 13.1 | OldPos: 1618.8, -1732.9 | OldOldPos: 1618.8, -1732.9 | PlayerLevel: 1 | Name: Maksim_Warner | Ping: 69 | Warnings: 0
[26.04.2017 | 21:01:14] Pos: -2086.8, -135.8, 35.0 | OldPos: -2077.4, -204.0 | OldOldPos: -2077.1, -205.4 | PlayerLevel: 4 | Name: Danil_Maksemenko | Ping: 68 | Warnings: 0
[26.04.2017 | 21:12:17] Pos: 1715.0, -1812.6, 13.3 | OldPos: 1760.6, -1821.5 | OldOldPos: 1763.0, -1822.2 | PlayerLevel: 1 | Name: Nikita_Ashechick | Ping: 79 | Warnings: 0
[26.04.2017 | 21:13:53] Pos: 915.6, -1570.6, 13.1 | OldPos: 967.8, -1570.0 | OldOldPos: 968.9, -1570.0 | PlayerLevel: 5 | Name: Robert_Tompson | Ping: 96 | Warnings: 0
[26.04.2017 | 21:21:35] Pos: -2086.9, -131.8, 35.0 | OldPos: -2077.8, -199.0 | OldOldPos: -2077.8, -199.0 | PlayerLevel: 1 | Name: Valera_Gro | Ping: 63 | Warnings: 0
[26.04.2017 | 21:34:56] Pos: -1138.1, -2375.4, 28.0 | OldPos: -1080.4, -2378.1 | OldOldPos: -1079.4, -2377.8 | PlayerLevel: 2 | Name: Jek_Orbit | Ping: 85 | Warnings: 0
[26.04.2017 | 21:42:48] Pos: -2086.8, -135.8, 35.0 | OldPos: -2076.9, -199.5 | OldOldPos: -2076.8, -200.2 | PlayerLevel: 1 | Name: Garry_Russak | Ping: 94 | Warnings: 0
[26.04.2017 | 21:53:41] Pos: 1386.3, 372.3, 19.4 | OldPos: 1262.9, -1797.3 | OldOldPos: 1262.9, -1797.3 | PlayerLevel: 1 | Name: Jhon_Marakuya | Ping: 95 | Warnings: 0
