[27.09.2017 | 20:26:50] Position: -2573.622, 584.930, 81.784 | Velocity: -0.006, -0.203, -0.017 | PlayerLevel: 1 | Name: Aleksandr_Kudinov
[27.09.2017 | 20:26:50] Position: -2573.639, 584.402, 81.737 | Velocity: -0.006, -0.215, -0.018 | PlayerLevel: 1 | Name: Aleksandr_Kudinov
[27.09.2017 | 20:26:51] Position: -2573.792, 579.637, 81.316 | Velocity: -0.006, -0.206, -0.018 | PlayerLevel: 1 | Name: Aleksandr_Kudinov
[27.09.2017 | 20:26:51] Position: -2573.810, 579.089, 81.268 | Velocity: -0.007, -0.219, -0.019 | PlayerLevel: 1 | Name: Aleksandr_Kudinov
[27.09.2017 | 20:26:52] Position: -2573.958, 574.462, 80.859 | Velocity: -0.006, -0.203, -0.017 | PlayerLevel: 1 | Name: Aleksandr_Kudinov
[27.09.2017 | 20:26:52] Position: -2573.975, 573.938, 80.813 | Velocity: -0.006, -0.215, -0.018 | PlayerLevel: 1 | Name: Aleksandr_Kudinov
[27.09.2017 | 20:26:53] Position: -2574.123, 569.341, 80.407 | Velocity: -0.006, -0.203, -0.017 | PlayerLevel: 1 | Name: Aleksandr_Kudinov
[27.09.2017 | 20:26:53] Position: -2574.139, 568.824, 80.362 | Velocity: -0.006, -0.214, -0.018 | PlayerLevel: 1 | Name: Aleksandr_Kudinov
[27.09.2017 | 20:27:01] Position: -2570.420, 564.443, 15.443 | Velocity: 0.194, 0.004, 0.057 | PlayerLevel: 1 | Name: Aleksandr_Kudinov
[27.09.2017 | 20:27:01] Position: -2569.913, 564.456, 15.582 | Velocity: 0.207, 0.005, 0.054 | PlayerLevel: 1 | Name: Aleksandr_Kudinov
[27.09.2017 | 20:27:02] Position: -2564.941, 564.547, 16.016 | Velocity: 0.211, 0.002, 0.017 | PlayerLevel: 1 | Name: Aleksandr_Kudinov
[27.09.2017 | 20:27:02] Position: -2564.393, 564.554, 16.063 | Velocity: 0.223, 0.002, 0.019 | PlayerLevel: 1 | Name: Aleksandr_Kudinov
[27.09.2017 | 20:27:03] Position: -2559.630, 564.569, 16.313 | Velocity: 0.193, -0.043, 0.005 | PlayerLevel: 1 | Name: Aleksandr_Kudinov
[27.09.2017 | 20:27:03] Position: -2559.309, 564.480, 16.322 | Velocity: 0.194, -0.057, 0.005 | PlayerLevel: 1 | Name: Aleksandr_Kudinov
[27.09.2017 | 20:27:05] Position: -2551.260, 564.218, 17.029 | Velocity: 0.191, 0.008, 0.026 | PlayerLevel: 1 | Name: Aleksandr_Kudinov
[27.09.2017 | 20:27:05] Position: -2550.950, 564.234, 17.072 | Velocity: 0.194, 0.009, 0.027 | PlayerLevel: 1 | Name: Aleksandr_Kudinov
[27.09.2017 | 20:27:06] Position: -2546.931, 570.961, 19.234 | Velocity: -0.036, 0.188, 0.057 | PlayerLevel: 1 | Name: Aleksandr_Kudinov
[27.09.2017 | 20:27:06] Position: -2547.062, 571.424, 19.382 | Velocity: -0.061, 0.189, 0.061 | PlayerLevel: 1 | Name: Aleksandr_Kudinov
